PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
213562864,19211163,6,2019-10-16T06:00:00,"4400 Block Brownshill Rd Pittsburgh, PA 15217",N,Squirrel Hill North,4,THEFT,3921 Theft by Unlawful Taking or Disposition. / 3929(a)(4) Retail Theft; under-rings merchandise,1403,,,0,0
213568545,19211212,6,2019-10-16T13:27:00,"1300 Block Pritchard St Pittsburgh, PA 15204",Y,Sheraden,6,THEFT,3921 Theft by Unlawful Taking or Disposition.,2022,2,5,-80.0643864883862,40.4532939536933
213593609,19211447,10,2019-10-16T18:00:00,"1400 Block Washington Blvd Pittsburgh, PA 15206",N,Highland Park,5,TERRORISTIC THREATS,2706 Terroristic Threats.,1106,9,2,-79.9086166765251,40.4703056329977
213596541,19211427,10,2019-10-16T15:10:00,"1700 Block E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,HARRASSMENT,2709 Harassment (Non-Specific),1702,3,3,-79.9818723137217,40.4285931755253
213601393,19211525,10,2019-10-16T20:37:00,"1200 Block Itin St Pittsburgh, PA 15212",Y,Spring Hill-City View,1,SIMPLE ASSAULT,2701 Simple Assault.,2620,1,1,-79.9921856302151,40.4620502777626
213812185,19214527,15,2019-10-21T01:45:00,"1700 Block Belleau Dr Pittsburgh, PA 15212",Y,Fineview,1,FIREARMS NOT TO BE CARRIED WO LICENSE,"6106 Firearms not to be Carried without a License. / 907 Possessing Instruments of Crime. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)",2509,6,1,-80.0069833937371,40.460310552493
213821850,19214652,27,2019-10-21T07:20:00,"5400 Block Centre Ave Pittsburgh, PA 15232",N,Shadyside,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,709,8,2,-79.9382789089649,40.4558842968508
213845207,19214793,0,2019-10-21T12:45:00,"100 Block Zara St Pittsburgh, PA 15210",N,Knoxville,3,99,"5533(a) Cruelty to animals - Intentionally, knowingly or recklessly illtreats, overloads, beats, abandons or abuses an animal",3001,3,5,-79.9881453342414,40.4159117365192
213860950,19214817,3,2019-10-21T14:37:00,"Marshall Ave & Sorrell St Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,ROBBERY OF MOTOR VEHICLE,"3702 Limitations on Backing. / 13(a)(31) Marijuana: Possession Small Amount / 9093 Indirect Criminal Contempt / 3351 Stop, Stand and Park Outside Bus. and Res.  / 1543 Driving While Operating Privilege is Suspended or Revoked.",2704,1,1,-80.028312344052,40.4639147370124
213871370,19215034,99,2019-10-21T19:30:00,"10 Block Cedricton St Pittsburgh, PA 15210",Y,Carrick,3,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,2901,4,3,-79.9912512175098,40.405198062633
213635163,19211829,6,2019-10-14T20:00:00,"300 Block 4th Ave Pittsburgh, PA 15222",N,Central Business District,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,201,6,6,-80.0011732962662,40.4391487387533
213641760,19211867,23,2019-10-17T11:07:00,"200 Block Main St Pittsburgh, PA 15201",Y,Central Lawrenceville,2,PUBLIC DRUNKENESS,5505 Public Drunkenness / 9998 Overdose Other,902,,,-79.9038910007904,40.3886458129777
-3266010736,19212042,14,2019-10-17T16:03:00,"5800 Block Beacon St Pittsburgh, PA 15217",N,Squirrel Hill South,4,CRIM MISCHIEF,"3304 Criminal Mischief. / 601.11(a) Littering and Dumping; Any waste, dangerous or detrimental substance upon public property",1408,5,3,-79.9227990461153,40.4347583303426
213678365,19212313,21,2019-10-17T23:27:00,"1600 Block W Carson St Pittsburgh, PA 15219",Y,South Shore,3,DUI - GENERAL IMPAIRMENT,3802(b) DUI - High Rate of Alchol - BAC >=.10% <.16% / 3802(a)(1) DUI - General Impairment,1921,2,5,-80.0213528738134,40.4421395488467
213708808,19212649,27,2019-10-18T12:25:00,"Lorenz Ave & Uvilla St Pittsburgh, PA 15220",N,Elliott,6,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,2020,2,5,-80.0382867454798,40.4455500774404
213734291,19212994,18,2019-10-18T21:20:00,"Bernd St & Bausman St Pittsburgh, PA 15210",Y,Beltzhoover,3,STOLEN PROPERTY,13(a)(31) Marijuana: Possession Small Amount / 3323 Stop Signs and Yield Signs.,1809,3,5,-79.9970088726966,40.4141366488059
213674081,19212261,99,2019-10-17T21:25:00,"500 Block Mt Pleasant Rd Pittsburgh, PA 15214",Y,Northview Heights,1,MENTAL 201/302,9498 302 (Mental),2609,,,0,0
213743035,19213169,0,2019-10-19T03:13:00,"1400 Block Centre Ave Pittsburgh, PA 15219",N,Central Business District,2,99,9999 9999 - (Misc. Incident): ,201,,,-79.8796553236592,40.4461196784598
213752841,19213281,14,2019-10-19T09:07:00,"1500 Block Sterling St Pittsburgh, PA 15210",N,South Side Slopes,3,CRIM MISCHIEF,3304 Criminal Mischief.,1608,,,0,0
213756393,19213350,10,2019-10-19T10:00:00,"800 Block Kirkbride St Pittsburgh, AL 15212",Y,California-Kirkbride,1,SIMPLE ASSAULT,2701 Simple Assault.,2507,6,1,-80.0180175142169,40.4602078696692
213757919,19213379,5,2019-10-19T11:56:00,"900 Block Climax St Pittsburgh, PA 15210",N,Allentown,3,BURGLARY,3502 Burglary.,1803,3,5,-79.9904691297034,40.4200622676354
-3318000776,19213397,6,2019-10-19T12:00:00,"6000 Block Stanton Ave Pittsburgh, PA 15206",N,Highland Park,5,THEFT FROM AUTO,3934 Theft from Vehicle,1106,,,0,0
213604023,19211630,18,2019-10-17T00:44:00,"Frankstown Ave & Brushton Ave Pittsburgh, PA 15221",Y,Homewood North,5,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 3334 Turning Movements and Required Signals. / 1543 Driving While Operating Privilege is Suspended or Revoked.,1301,9,2,-79.8880963867104,40.4555344380276
213644169,19211902,27,2019-10-15T19:50:00,"Lilac St & Beechwood Blvd Pittsburgh, PA 15217",N,Greenfield,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 3742 Accidents Involving Death or Personal Injury,1517,5,3,-79.9275825969742,40.4230513436442
213648170,19211903,27,2019-10-17T09:30:00,"2400 Block Bracey Dr Pittsburgh, PA 15221",N,East Hills,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1306,,,0,0
213654892,19211999,6,2019-10-17T14:31:00,"20 Block Natchez St Pittsburgh, PA 15211",N,Mount Washington,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1914,2,5,-80.009846894145,40.4293320025451
213663332,19210992,11,2019-10-14T00:01:00,"200 Block Alice St Pittsburgh, PA 15210",N,Knoxville,6,THEFT BY DECEPTION,3922 Theft by Deception.,3001,,,0,0
213675461,19211914,27,2019-10-17T12:25:00,"1100 Block Brabec St Pittsburgh, PA 15212",N,Troy Hill,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2406,1,1,-79.9920340143178,40.4585370614614
213888556,19215331,3,2019-10-22T04:16:00,"S 21st St & Sidney St Pittsburgh, PA 15203",Y,South Side Flats,3,ROBBERY,3702 Robbery of Motor Vehicle. / 3701 Robbery.,1609,3,3,-79.976180876585,40.4294263792426
213896706,19215401,0,2019-10-22T08:30:00,"Clayton Ave & Langley St Pittsburgh, PA 15214",N,Perry South,1,99,3926.C1 THEFT OF SERVICES,2614,6,1,-80.0108653079209,40.463005837757
213921975,19215552,99,2019-10-22T10:30:00,"800 Block Geyer Rd Pittsburgh, PA 15212",N,Outside City,OSC,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,5599,,,-79.9937659109317,40.4926692416694
213925443,19215424,26,2019-10-22T09:32:00,"2200 Block Spring St Pittsburgh, PA 15210",Y,Arlington,3,FALSE RPT LAW ENFORCE AUTH,"4906 False Reports to Law Enforcement Authorities. / 5126 Flight to Avoid Apprehension, Trial or Punishment. / 9501 Bench Warrant / 4914 False Identification to Law Enforcement Authorities",1603,3,3,-79.9760258567796,40.4162545064803
213947078,19215796,10,2019-10-22T19:45:00,"1200 Block Shadycrest Dr Pittsburgh, PA 15216",N,Beechview,6,TERRORISTIC THREATS,"2706 Terroristic Threats. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1916,4,5,-80.0268522368914,40.4249099313598
213950821,19215823,10,2019-10-22T19:54:00,"200 Block Lelia St Pittsburgh, PA 15211",Y,Mount Washington,3,SIMPLE ASSAULT,5104 Resisting Arrest or Other Law Enforcement. / 2701 Simple Assault.,1915,2,5,-80.0102731357711,40.4218733133314
213956560,19215938,3,2019-10-22T23:05:00,"200 Block Fisk St Pittsburgh, PA 15201",N,Central Lawrenceville,2,ROBBERY,3701 Robbery. / 2702 Aggravated Assault. / 607.03 Discharging Firearm or Airgun,902,7,2,-79.9615326668839,40.4692723306214
213956803,19215970,6,2019-10-23T00:32:00,"300 Block Dengler St Pittsburgh, PA 15210",N,Arlington,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1603,3,3,-79.9678128899668,40.4147328295761
213693840,19211241,9,2019-10-16T14:00:00,"5800 Block Baum Blvd Pittsburgh, PA 15206",N,East Liberty,5,FORGERY,4101 Forgery.,1115,7,2,-79.9307162018236,40.4590190782052
213698749,19212503,10,2019-10-18T07:16:00,"500 Block Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,SIMPLE ASSAULT,2701 Simple Assault.,201,6,6,-80.0035931077627,40.4412175503666
213726681,19212837,18,2019-10-18T17:40:00,"Wilner Dr & East Hills Dr Pittsburgh, PA 15221",Y,East Hills,5,STOLEN PROPERTY,13(a)(31) Marijuana: Possession Small Amount / 4303 General Lighting Requirements. / 1543 Driving While Operating Privilege is Suspended or Revoked.,1306,9,2,-79.8711474662664,40.4551122165632
213730893,19212769,27,2019-10-18T16:21:00,"5900 Block Centre Ave Pittsburgh, PA 15206",N,Shadyside,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,705,,,0,0
213731307,19212801,0,2019-10-18T17:25:00,"Centre Ave & S Aiken Ave Pittsburgh, PA 15232",N,Shadyside,4,99,9999 9999 - (Misc. Incident): ,709,8,2,-79.9385945128342,40.4559175857586
213732120,19212962,18,2019-10-18T20:21:00,"Blvd Of The Allies Ramp Pittsburgh, PA 15222",Y,Central Business District,2,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession,201,,,0,0
213735148,19212981,18,2019-10-18T21:26:00,"Frankstown Ave E & East Liberty Blvd Pittsburgh, PA 15206",Y,Homewood North,5,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession / 13(a)(31)(i) Marijuana - Possess Small Amt for Personal Use,1301,9,2,-79.9158059461369,40.4608138066626
213741161,19213118,0,2019-10-19T01:24:00,"Webster Ave & Davenport St Pittsburgh, PA 15219",N,Middle Hill,2,99,9999 9999 - (Misc. Incident): ,501,6,3,-79.9810856955352,40.4459992206327
213761632,19213410,6,2019-10-14T15:30:00,"3000 Block Smallman St Pittsburgh, PA 15201",Y,Strip District,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,203,7,6,-79.9732861883749,40.4594972946257
213762028,19213434,6,2019-10-19T11:00:00,"3000 Block Smallman St Pittsburgh, PA 15201",N,Strip District,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,203,7,6,-79.9732861883749,40.4594972946257
213763505,19213413,0,2019-10-19T12:53:00,"1500 Block Bellaire Pl Pittsburgh, PA 15226",N,Brookline,6,99,9999 9999 - (Misc. Incident): Possible Missing Person ,3206,4,5,-80.0058412332839,40.3932457175446
-3320003155,19213479,6,2019-10-19T15:00:00,"900 Block N Highland Ave Pittsburgh, PA 15206",N,Highland Park,5,THEFT FROM AUTO,3934 Theft from Vehicle,1102,7,2,-79.9199753257348,40.4712503525642
213767764,19213421,3,2019-10-19T13:07:00,"7400 Block Hermitage St Pittsburgh, PA 15208",N,Homewood North,5,ROBBERY,3701 Robbery. / 2702 Aggravated Assault. / 2705 Recklessly Endangering Another Person. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,1301,9,2,-79.8907448876819,40.4590009976682
213771091,19213512,99,2019-10-16T12:10:00,"6900 Block Yorkshire Dr Pittsburgh, PA 15208",N,Point Breeze,4,FOUND PROPERTY,9489 Found Property,1406,8,3,-79.9083169924992,40.4498631616288
213774859,19213692,13,2019-10-19T21:11:00,"300 Block Michigan St Pittsburgh, PA 15210",Y,Beltzhoover,3,RECEIVING STOLEN PROPERTY,"3925 Receiving Stolen Property. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)",1809,4,5,-80.0022853158132,40.4158732483766
213775381,19213752,6,2019-10-19T22:10:00,"1900 Block Smallman St Pittsburgh, PA 15222",N,Strip District,2,THEFT,3921 Theft by Unlawful Taking or Disposition. / 4106 Access Device Fraud,203,7,6,-79.984746823526,40.4513193188361
213777288,19213831,26,2019-10-20T00:59:00,"500 Block Kemp St Pittsburgh, PA 15220",N,Westwood,6,UNAUTHORIZED USE VEHICLE,3928 Unauthorized Use of Automobile and Other Vehicles.,2811,,,0,0
213777990,19213911,29,2019-10-20T03:15:00,"200 Block East Ohio St Pittsburgh, PA 15212",N,Allegheny Center,1,RUNAWAYS - JUVENILE,029 Missing Juvenile,2204,,,0,0
213779859,19213936,27,2019-10-20T04:07:00,"3700 Block Liberty Ave Pittsburgh, PA 15201",N,Lower Lawrenceville,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop. / 3746 Immediate Notice of Accident to Police Department,603,7,2,-79.9617733707327,40.461880521113
213782384,19213956,6,2019-10-20T05:16:00,"300 Block Heldman St Pittsburgh, PA 15219",N,Crawford-Roberts,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,305,,,0,0
213785637,19214094,6,2019-10-19T20:00:00,"900 Block Freeport Rd Pittsburgh, PA 15215",N,Lincoln-Lemington-Belmar,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1201,9,2,-79.8923529450752,40.4861185015656
213694209,19212500,6,2019-10-18T08:00:00,"S 13th St Pittsburgh, PA 15203",N,South Side Flats,3,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,1702,3,3,-79.9853345711397,40.4286177030743
213701021,19212641,11,2019-10-18T12:00:00,"200 Block The Boulevard Pittsburgh, PA 15210",N,Carrick,3,CREDIT CARDS,4120 Identity Theft / 4106 Access Device Fraud,2902,4,3,-79.9857362797262,40.4010992698652
213716275,19212684,6,2019-10-17T19:00:00,"2800 Block Banksville Rd Pittsburgh, PA 15216",N,Banksville,6,THEFT FROM AUTO,3934 Theft from Vehicle,2023,2,5,-80.0401487976792,40.4049229001819
213722630,19212679,0,2019-10-18T12:45:00,"3200 Block Dawson St Pittsburgh, PA 15213",N,South Oakland,4,99,9999 9999 - (Misc. Incident): ,409,3,3,-79.9539936467271,40.4298864781067
213725710,19212797,14,2019-10-18T07:00:00,"Butler St & 43rd St Pittsburgh, PA 15201",N,Central Lawrenceville,2,CRIM MISCHIEF,3304 Criminal Mischief.,901,7,2,-79.9603419338422,40.4706409232549
213726653,19212848,99,2019-10-18T13:00:00,"Smithfield St & Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,LOST PROPERTY,9504 Lost Property,201,6,6,-79.9965346029409,40.4433137667341
-3389000685,19212834,27,2019-10-18T17:25:00,"Potomac Ave & Bellingham Ave Pittsburgh, PA 15216",N,Banksville,6,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,2023,2,5,-80.040340683046,40.4025431728233
213731885,19212904,29,2019-10-18T19:00:00,"400 Block Zara St Pittsburgh, PA 15210",Y,Knoxville,3,LOCATED RUNAWAY - OUTSIDE CITY,0291 Located Runaway - Outside City,3001,3,5,-79.9951418285894,40.4157237907885
213735096,19177747,18,2019-10-18T22:00:00,"3300 Block Ward St Pittsburgh, PA 15213",Y,South Oakland,4,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant,409,3,3,-79.9549043321306,40.4331760065168
213741620,19213073,14,2019-10-19T00:14:00,"400 Block Dargan St Pittsburgh, PA 15224",Y,North Oakland,5,CRIM MISCHIEF (GRAFFITI),"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar) / 13(a)(31) Marijuana: Possession Small Amount / 5126 Flight to Avoid Apprehension, Trial or Punishment. / 907 Possessing Instruments of Crime. / 473.07 (a) Hours of Parks 0600-2300 hrs.",507,7,2,-79.9547638497589,40.4624421435255
213744053,19213161,5,2019-10-19T02:42:00,"1400 Block Forsythe St Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,BURGLARY,3502 Burglary. / 3304 Criminal Mischief.,2715,,,0,0
213749107,19213241,6,2019-10-19T07:00:00,"1000 Block Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",201,6,6,-79.9946158625346,40.4434190143884
213765970,19213521,18,2019-10-19T17:00:00,"Knox Ave & Bausman St Pittsburgh, PA 15210",Y,Knoxville,3,STOLEN PROPERTY,13(a)(31) Marijuana: Possession Small Amount / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3334 Turning Movements and Required Signals.,3001,3,5,-79.9905184295157,40.4143736034039
213964753,19211258,24,2019-10-16T14:30:00,"E North Ave & Sandusky St N Pittsburgh, PA 15212",Y,Central North Side,1,OBSTRUCT HIGHWAYS/PUB PASSAGES,5507 Obstructing Highways and Passages.,2206,1,1,-80.0045684226519,40.455850861071
213966932,19215454,6,2019-10-22T10:22:00,"800 Block Mc Lain St Pittsburgh, PA 15210",N,Allentown,3,THEFT FROM AUTO,3934 Theft from Vehicle,1803,3,5,-79.9938605498022,40.4242391853527
213971156,19216167,29,2019-10-23T10:06:00,"2000 Block Sonny St Pittsburgh, PA 15221",N,East Hills,5,RUNAWAYS - JUVENILE,029 Missing Juvenile,1306,9,2,-79.8707930087179,40.4497038963972
-3341000998,19216234,6,2019-10-23T11:34:00,"3700 Block Brighton Rd Pittsburgh, PA 15212",N,Brighton Heights,1,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,2701,1,1,-80.0351980801124,40.483254528056
214004777,19216398,0,2019-10-23T16:39:00,"50 Block Montgomery Pl Pittsburgh, PA 15212",Y,Allegheny Center,1,99,601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks,2204,1,1,-80.0049643611736,40.4548112586575
214005144,19216382,99,2019-10-23T16:12:00,"7100 Block Churchland St Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,MENTAL 201/302,9498 302 (Mental),1201,9,2,-79.8967912613571,40.4710709306129
214007764,19216414,3,2019-10-23T13:50:00,"W North Ave & Arch St Pittsburgh, PA 15212",N,Allegheny Center,1,ROBBERY,3701 Robbery.,2204,1,1,-80.0086312849831,40.4550987990406
214011267,19216449,10,2019-10-22T14:30:00,"500 Block Marshall Ave Pittsburgh, PA 15214",N,Perry South,1,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",2615,6,1,-80.0166941137435,40.4710051349024
214026507,19216684,29,2019-10-22T02:17:00,"2300 Block High Oak Dr Pittsburgh, PA 15220",Y,Banksville,6,RUNAWAYS - JUVENILE,029 Missing Juvenile,2023,2,5,-80.0442133862132,40.404179360246
213760668,19213388,6,2019-10-19T11:43:00,"5100 Block Butler St Pittsburgh, PA 15201",N,Upper Lawrenceville,2,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,1011,7,2,-79.9554368193965,40.4783732710048
213763773,19212959,6,2019-10-18T20:00:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,Central Business District,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2904,6,6,-79.9960409452176,40.4350395659104
213775464,19213747,0,2019-10-19T22:05:00,"4000 Block Butler St Pittsburgh, PA 15201",Y,Central Lawrenceville,2,99,9998 Overdose Other,902,7,2,-79.9616807037037,40.4687010518457
-3326002151,19213918,0,2019-10-20T03:25:00,"100 Block S 14th St Pittsburgh, PA 15203",Y,South Side Flats,3,99,670.02  (a) Disruptive activity prepetrataed/caused/permitted on property by owner(s)/tenant(s)/occupant(s)/invitee(s) of the property / 5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,1702,3,3,-79.9842842162303,40.4267309778106
213782378,19213459,99,2019-10-19T15:15:00,"North Shore Dr & Art Rooney Ave Pittsburgh, PA 15212",N,North Shore,1,AIDED CASE,9497 Aided Case,2205,1,6,-80.0135580358932,40.4453073540076
213784209,19214006,6,2019-10-20T05:30:00,"2100 Block Perrysville Ave Pittsburgh, PA 15214",N,Perry South,1,THEFT,3921 Theft by Unlawful Taking or Disposition.,2614,6,1,-80.0122625095356,40.4636813394895
213789187,19214120,27,2019-10-20T02:05:00,"Liberty Ave & 11th St Pittsburgh, PA 15219",N,Central Business District,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,201,6,6,-79.9934548154608,40.4441321448384
213821657,19212619,4,2019-10-14T12:35:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,Terrace Village,2,AGG-ASSAULT,2702 Aggravated Assault. / 2705 Recklessly Endangering Another Person. / 2701 Simple Assault. / 2902 Unlawful Restraint.,510,6,6,-79.9960409452176,40.4350395659104
213793480,19214203,6,2019-10-20T16:00:00,"100 Block Putnam St Pittsburgh, PA 15206",N,Larimer,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1208,,,0,0
213794280,19214215,10,2019-10-20T16:31:00,"19th St & Smallman St Pittsburgh, PA 15222",N,Strip District,2,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",203,7,6,-79.9853045455585,40.4513208897241
213799887,19214445,14,2019-10-20T21:48:00,"700 Block Hazelwood Ave Pittsburgh, PA 15217",N,Greenfield,4,CRIM MISCHIEF,3304 Criminal Mischief.,1517,5,3,-79.9330729845972,40.4197989425339
213803711,19214430,0,2019-10-20T21:08:00,"500 Block Brookline Blvd Pittsburgh, PA 15226",N,Brookline,6,DUI - GENERAL IMPAIRMENT,3802(a)(1) DUI - General Impairment,1918,4,5,-80.0236345649749,40.3962210607594
-3319002495,19214492,0,2019-10-21T00:38:00,"4700 Block Monongahela St Pittsburgh, PA 15207",N,Hazelwood,4,99,9999 9999 - (Misc. Incident): EWOC Investigation,1501,5,3,-79.9437525947838,40.4134989946425
213826048,19214595,0,2019-10-21T05:37:00,"Saw Mill Run Blvd & Stewart Ave Pittsburgh, PA 15227",N,Overbrook,3,99,9999 9999 - (Misc. Incident): CYF,3204,,,-79.9928824535452,40.378630274101
213826196,19214670,0,2019-10-21T09:00:00,"Forbes Ave & Wightman St Pittsburgh, PA 15217",N,Squirrel Hill North,4,99,9134 Pedestrian Hit by Vehicle/Non-Reportable Accident,1403,5,3,-79.9277171536872,40.4380472447698
-3313002925,19213551,27,2019-10-19T17:15:00,"200 Block Saline St Pittsburgh, PA 15207",N,Greenfield,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1516,5,3,-79.9494952810537,40.4269233607199
213777958,19213884,10,2019-10-20T02:26:00,"6100 Block Spirit St Pittsburgh, PA 15206",Y,Shadyside,4,SIMPLE ASSAULT,2701 Simple Assault.,708,8,2,-79.9235312106605,40.4596095610586
213799641,19214297,6,2019-10-20T21:21:00,"Millbridge St & Carnival Way Pittsburgh, PA 15210",Y,Allentown,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3925 Receiving Stolen Property. / 13(a)(32) Paraphernalia - Use or Possession / 1543 Driving While Operating Privilege is Suspended or Revoked.,1803,3,5,-79.9958292975203,40.4222905462606
213799728,19214441,0,2019-10-20T21:47:00,"3100 Block Sacramento Ave Pittsburgh, PA 15204",N,Sheraden,6,99,9998 Overdose Other,2018,2,5,-80.0511879530307,40.4587755669633
212845513,19202462,10,2019-10-05T01:57:00,"I-376 Pittsburgh, PA 15217",Y,Squirrel Hill South,4,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1414,5,3,-79.922830013915,40.4378418698921
212870920,19203104,10,2019-10-05T20:51:00,"300 Block 3rd Ave Pittsburgh, PA 15222",Y,Central Business District,2,SIMPLE ASSAULT,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 4953 Retaliation Against Witness,Victim or Party.",201,6,6,-80.0016135598372,40.4388661313797
212872389,19203109,99,2019-10-05T21:07:00,"Millbridge St & E Warrington Ave Pittsburgh, PA 15210",Y,Allentown,3,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3334 Turning Movements and Required Signals.,1803,3,5,-79.9958194884978,40.4217799960059
212876522,19203219,26,2019-10-06T00:45:00,"500 Block Penn Ave Pittsburgh, PA 15222",N,Central Business District,2,UNAUTHORIZED USE VEHICLE,3928 Unauthorized Use of Automobile and Other Vehicles.,201,7,2,-79.9435820869511,40.464893357809
214029599,19216732,99,2019-10-24T04:46:00,"1300 Block Marvista St Pittsburgh, PA 15212",N,California-Kirkbride,1,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,2507,6,1,-80.0265892258737,40.4618495781045
214055766,19216875,27,2019-10-24T10:45:00,"2000 Block Jacob St Pittsburgh, PA 15226",N,Brookline,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,3206,4,5,-79.9992681199026,40.3922078791955
214063357,19215406,10,2019-10-17T12:00:00,"500 Block Strawberry Way Pittsburgh, PA 15222",Y,Central Business District,2,HARRASSMENT,2709 Harassment (Non-Specific) / 2709(a)(5) Harassment Communicates Repeatedly in Anonymous Manner / 2709.2 Stalking Conduct or Repeatedly Communicates,201,,,0,0
214074680,19215407,0,2019-10-17T12:00:00,"900 Block Liberty Ave Pittsburgh, PA 15222",Y,Central Business District,2,99,2709.2 Stalking Conduct or Repeatedly Communicates / 2709(a)(5) Harassment Communicates Repeatedly in Anonymous Manner,201,6,6,-79.9979394801918,40.4429453058994
214076125,19216921,6,2019-10-24T11:00:00,"500 Block Grant St Pittsburgh, PA 15219",N,Central Business District,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,201,6,6,-79.9958972105766,40.4396542222605
214076263,19216975,6,2019-10-16T08:00:00,"500 Block Grant St Pittsburgh, PA 15219",N,Central Business District,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,201,6,6,-79.9958972105766,40.4396542222605
